GB02,ISIC02
8821,2211
8822,2212
8823,2212
8824,2213
8825,2213
8829,2219
,
8910,9213
8920,9213
,
8931,9211
8932,9212
8940,9211
8940,9249
9010,9214
9020,9214
 ,
9031,9231
9032,9231
9040,9232
9050,9232
9060,9232
9070,9214
9080,7499
9090,9232
,
9110,9241
9120,9241
9190,9241
,
9210,9219
9220,9219
9230,9241
9290,9249
,
 ,
9300,7511
,
9410,7511
,
9421,7511
9422,7521
9423,7523
9424,7512
9425,7513
9426,7514
9427,7512
 ,
9431,7523
9432,7523
9490,7522
 ,
9510,7511
9520,9192
,
,
9611,9120
9612,9199
9613,9199
9619,9199
,
9621,9112
9622,9111
9629,9199
9630,9191
,
9710,7511
9720,7511
,
 ,
9800,9900
