S_2011,S_2017,pdf_page,source_line
2665,2666,108,2666 环境污染处理专用药剂材料 2665 环境污染处理专用药剂材料制
2666,2667,108,2667 动物胶制造 2666 动物胶制造
2669,2669,108,2669 其他专用化学产品制造 2669 其他专用化学产品制造
2671,2671,108,2671 炸药及火工产品制造 2671 炸药及火工产品制造
2672,2672,108,2672 焰火、鞭炮产品制造 2672 焰火、鞭炮产品制造
2681,2681,108,2681 肥皂及洗涤剂制造 2681 肥皂及合成洗涤剂制造 更名
2682,2682,108,2682 化妆品制造 2682 化妆品制造
2683,2683,108,2683 口腔清洁用品制造 2683 口腔清洁用品制造
2684,2684,108,2684 香料、香精制造 2684 香料、香精制造
2689,2689,108,2689 其他日用化学产品制造 2689 其他日用化学产品制造
2710,2710,108,2710 化学药品原料药制造 2710 化学药品原料药制造
2720,2720,108,2720 化学药品制剂制造 2720 化学药品制剂制造
2730,2730,108,2730 中药饮片加工 2730 中药饮片加工
2740,2740,108,2740 中成药生产 2740 中成药生产
2750,2750,108,2750 兽用药品制造 2750 兽用药品制造
2760,2761,108,2761 生物药品制造 2760 生物药品制造 新增，将原 2760 分解
2760,2762,108,2762 基因工程药物和疫苗制造 2760 生物药品制造 新增，将原 2760 分解
2770,2770,108,2770 卫生材料及医药用品制造 2770 卫生材料及医药用品制造 内容变更，原 2770 部分内容调
2770,2780,108,2780 药用辅料及包装材料 2770 卫生材料及医药用品制造 新增，原 2770 部分内容调到此
2811,2811,108,2811 化纤浆粕制造 2811 化纤浆粕制造 内容变更，原 2811 部分内容调
2812,2812,109,2812 人造纤维（纤维素纤维）制造 2812 人造纤维（纤维素纤维）制造 内容变更，原 2812 部分内容调
2821,2821,109,2821 锦纶纤维制造 2821 锦纶纤维制造
2822,2822,109,2822 涤纶纤维制造 2822 涤纶纤维制造
2823,2823,109,2823 腈纶纤维制造 2823 腈纶纤维制造
2824,2824,109,2824 维纶纤维制造 2824 维纶纤维制造
2825,2825,109,2825 丙纶纤维制造 2825 丙纶纤维制造
2826,2826,109,2826 氨纶纤维制造 2826 氨纶纤维制造
