"hs_system","hs_level","hs_code","isic_revision","isic_level","isic_code","source"
"HS Combined","HS2","28","3","M","269","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","M","272","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","M","401","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","S","2330","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","S","2411","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","S","2412","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","S","2699","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","S","2720","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","S","4010","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","29","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","29","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","29","3","M","242","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","29","3","S","2411","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","29","3","S","2423","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","29","3","S","2424","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","30","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","30","3","M","242","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","30","3","S","2423","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","30","3","S","2429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","31","3","L","14","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","31","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","31","3","M","142","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","31","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","31","3","S","1421","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","31","3","S","2412","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","32","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","32","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","32","3","M","242","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","32","3","S","2411","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","32","3","S","2422","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","32","3","S","2429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","33","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","33","3","M","242","HS_Combined_ISIC_Rev3"
