"from_year","to_year","level","from_code","to_code","to_code_all","source_pair"
"2011","2017","M","422","422","422","2011_2017"
"2011","2017","M","431","431","431","2011_2017"
"2011","2017","M","432","432","432","2011_2017"
"2011","2017","M","433","433","433","2011_2017"
"2011","2017","M","434","434","434","2011_2017"
"2011","2017","M","435","435","435","2011_2017"
"2011","2017","M","436","436","436","2011_2017"
"2011","2017","M","439","439","439","2011_2017"
"2011","2017","M","441","441","441","2011_2017"
"2011","2017","M","442","442","442","2011_2017"
"2011","2017","M","442","526","442","2011_2017"
"2011","2017","M","443","443","443","2011_2017"
"2011","2017","M","450","252","451","2011_2017"
"2011","2017","M","450","451","451","2011_2017"
"2011","2017","M","450","452","451","2011_2017"
"2011","2017","M","461","461","461","2011_2017"
"2011","2017","M","462","462","462","2011_2017"
"2011","2017","M","469","463","463","2011_2017"
"2011","2017","M","469","469","463","2011_2017"
"2011","2017","M","470","471","471","2011_2017"
"2011","2017","M","470","472","471","2011_2017"
"2011","2017","M","470","479","471","2011_2017"
"2011","2017","M","481","481","481","2011_2017"
"2011","2017","M","482","482","482","2011_2017"
"2011","2017","M","483","483","483","2011_2017"
"2011","2017","M","484","484","487","2011_2017"
"2011","2017","M","484","486","487","2011_2017"
"2011","2017","M","484","487","487","2011_2017"
"2011","2017","M","485","485","485","2011_2017"
"2011","2017","M","489","489","489","2011_2017"
"2011","2017","M","491","491","491","2011_2017"
"2011","2017","M","492","492","492","2011_2017"
"2011","2017","M","499","499","499","2011_2017"
"2011","2017","M","501","501","501","2011_2017"
"2011","2017","M","502","502","502","2011_2017"
"2011","2017","M","503","503","503","2011_2017"
"2011","2017","M","509","509","509","2011_2017"
"2011","2017","M","511","511","511","2011_2017"
"2011","2017","M","511","519","511","2011_2017"
"2011","2017","M","512","512","512","2011_2017"
"2011","2017","M","513","513","513","2011_2017"
"2011","2017","M","514","514","514","2011_2017"
"2011","2017","M","515","515","515","2011_2017"
"2011","2017","M","516","516","516","2011_2017"
"2011","2017","M","517","517","517","2011_2017"
"2011","2017","M","518","518","518","2011_2017"
"2011","2017","M","519","519","519","2011_2017"
"2011","2017","M","521","521","521","2011_2017"
"2011","2017","M","522","522","522","2011_2017"
"2011","2017","M","523","523","523","2011_2017"
"2011","2017","M","524","524","524","2011_2017"
"2011","2017","M","525","525","525","2011_2017"
"2011","2017","M","526","526","526","2011_2017"
"2011","2017","M","527","527","527","2011_2017"
"2011","2017","M","528","528","528","2011_2017"
"2011","2017","M","529","529","529","2011_2017"
"2011","2017","M","531","531","531","2011_2017"
"2011","2017","M","532","532","532","2011_2017"
"2011","2017","M","533","533","533","2011_2017"
"2011","2017","M","541","541","541","2011_2017"
"2011","2017","M","542","542","542","2011_2017"
"2011","2017","M","543","543","543","2011_2017"
"2011","2017","M","544","544","544","2011_2017"
"2011","2017","M","551","551","551","2011_2017"
"2011","2017","M","552","552","552","2011_2017"
"2011","2017","M","553","553","553","2011_2017"
"2011","2017","M","561","561","561","2011_2017"
"2011","2017","M","562","562","562","2011_2017"
"2011","2017","M","563","563","563","2011_2017"
"2011","2017","M","570","571","571","2011_2017"
"2011","2017","M","570","572","571","2011_2017"
"2011","2017","M","581","591","591","2011_2017"
"2011","2017","M","582","581","581","2011_2017"
"2011","2017","M","582","582","582","2011_2017"
"2011","2017","M","582","582","581","2011_2017"
"2011","2017","M","591","595","595","2011_2017"
"2011","2017","M","599","592","592","2011_2017"
"2011","2017","M","599","593","592","2011_2017"
"2011","2017","M","599","594","592","2011_2017"
"2011","2017","M","599","596","592","2011_2017"
"2011","2017","M","599","599","592","2011_2017"
"2011","2017","M","601","601","601","2011_2017"
"2011","2017","M","602","602","602","2011_2017"
"2011","2017","M","602","609","602","2011_2017"
"2011","2017","M","611","611","611","2011_2017"
"2011","2017","M","612","612","612","2011_2017"
"2011","2017","M","619","613","613","2011_2017"
"2011","2017","M","619","614","613","2011_2017"
"2011","2017","M","619","619","613","2011_2017"
"2011","2017","M","621","621","621","2011_2017"
"2011","2017","M","622","622","622","2011_2017"
"2011","2017","M","623","623","623","2011_2017"
"2011","2017","M","629","624","624","2011_2017"
"2011","2017","M","629","629","629","2011_2017"
"2011","2017","M","629","629","624","2011_2017"
"2011","2017","M","631","631","631","2011_2017"
"2011","2017","M","632","632","632","2011_2017"
"2011","2017","M","633","633","633","2011_2017"
"2011","2017","M","641","641","641","2011_2017"
"2011","2017","M","642","642","642","2011_2017"
"2011","2017","M","649","649","649","2011_2017"
"2011","2017","M","651","651","651","2011_2017"
"2011","2017","M","652","653","653","2011_2017"
"2011","2017","M","652","654","653","2011_2017"
"2011","2017","M","653","656","656","2011_2017"
"2011","2017","M","654","643","643","2011_2017"
"2011","2017","M","654","644","643","2011_2017"
"2011","2017","M","654","645","643","2011_2017"
"2011","2017","M","654","655","643","2011_2017"
"2011","2017","M","655","652","652","2011_2017"
"2011","2017","M","659","657","657","2011_2017"
"2011","2017","M","659","659","659","2011_2017"
"2011","2017","M","661","661","661","2011_2017"
