"gb_year","gb_level","gb_code","isic_revision","isic_level","isic_code","source"
"2002","L","23","3","M","222","GB_T_4754_2002_ISIC_Rev3"
"2002","L","23","3","M","223","GB_T_4754_2002_ISIC_Rev3"
"2002","L","23","3","S","2221","GB_T_4754_2002_ISIC_Rev3"
"2002","L","23","3","S","2222","GB_T_4754_2002_ISIC_Rev3"
"2002","L","23","3","S","2230","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","L","24","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","L","25","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","L","28","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","L","36","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","M","242","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","M","252","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","M","289","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","M","369","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","S","2429","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","S","2520","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","S","2899","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","S","3692","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","S","3693","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","S","3694","GB_T_4754_2002_ISIC_Rev3"
"2002","L","24","3","S","3699","GB_T_4754_2002_ISIC_Rev3"
"2002","L","25","3","L","23","GB_T_4754_2002_ISIC_Rev3"
"2002","L","25","3","M","231","GB_T_4754_2002_ISIC_Rev3"
"2002","L","25","3","M","232","GB_T_4754_2002_ISIC_Rev3"
"2002","L","25","3","M","233","GB_T_4754_2002_ISIC_Rev3"
"2002","L","25","3","S","2310","GB_T_4754_2002_ISIC_Rev3"
"2002","L","25","3","S","2320","GB_T_4754_2002_ISIC_Rev3"
"2002","L","25","3","S","2330","GB_T_4754_2002_ISIC_Rev3"
"2002","L","26","3","L","24","GB_T_4754_2002_ISIC_Rev3"
"2002","L","26","3","M","241","GB_T_4754_2002_ISIC_Rev3"
"2002","L","26","3","M","242","GB_T_4754_2002_ISIC_Rev3"
"2002","L","26","3","S","2411","GB_T_4754_2002_ISIC_Rev3"
"2002","L","26","3","S","2412","GB_T_4754_2002_ISIC_Rev3"
"2002","L","26","3","S","2413","GB_T_4754_2002_ISIC_Rev3"
